"origin"	"dest"	"count"
2995174	361058	1
2996882	358619	3
2513925	361058	1
2979436	361058	1
3003603	360630	3
3021263	2988507	1
2996882	2996944	1
3037287	361058	1
2986732	2986732	2
2979707	2979707	1
2979707	359796	1
3010396	3010396	1
3010396	361058	1
3023777	359796	1
3165524	361058	3
2977845	360630	1
2986626	3030300	1
2994651	2994651	5
2994651	360630	4
3028598	360630	1
717582	360630	3
2997936	360630	1
3014728	359796	2
3035568	361058	1
2990355	358619	1
3035843	361055	1
6299463	2986679	1
2986679	359796	1
3003796	361058	3
3022679	359796	1
3022679	3022679	1
3022679	360630	1
3022679	361058	1
2992984	2992984	1
3023410	2995469	1
2761369	360630	2
2997581	360630	3
2974188	3003148	1
3003148	3003148	8
3003148	361058	1
3010025	3010025	6
3011021	361058	1
2984281	358619	1
2986683	358619	1
3578959	360630	1
2970606	2988507	1
3021598	361058	3
3021598	2988719	1
3021598	3021598	3
3028580	358619	1
2995469	2507480	1
3118514	361058	1
3035416	358619	1
3035416	361055	1
1274784	1274784	1
1274784	361058	1
3021421	361058	1
3036935	361058	1
2978643	2978643	1
2978643	360630	1
3001191	361058	1
2976375	359796	1
2988451	2995469	1
3018248	3018248	2
3018248	2988507	1
3018248	360630	1
2993586	358619	4
2972203	2972203	1
2972203	359796	1
3004935	359796	1
2998286	358048	1
2980291	358048	1
3034006	3034006	1
3034006	361058	4
2995469	360761	1
2986672	359796	1
3014799	358619	1
2989165	2989165	1
2989165	361058	1
3009017	360630	1
3008178	361058	1
3038334	361055	2
2867714	357994	1
3029140	1566083	1
2986726	361058	1
2479161	358619	1
358619	3017382	2
3017382	361055	2
3012937	361055	1
3006787	3006787	1
3006787	361058	6
2985968	361058	1
3033391	358619	1
2993768	361058	1
3037456	3037456	2
3037456	361058	4
2983580	360630	1
2997891	361058	1
3038559	361058	1
3038308	359796	1
2479161	361055	1
3018568	361058	1
3172394	358619	3
2975088	358619	1
3003473	360630	1
98182	358619	1
3176438	361058	1
3172394	361058	3
2643743	360630	4
3025094	361058	1
2995483	361058	1
2987489	359796	1
2987914	358619	4
2987914	359796	1
6448890	6448890	1
6448890	361058	1
3020900	3020900	1
3020900	359796	1
3031801	360630	4
3031801	3031801	3
2971258	361058	1
3021664	360630	1
2976686	361058	1
3030788	361058	1
2660522	2660522	7
2660522	360630	1
2995469	2472350	1
2979196	361058	1
3036491	361058	2
347497	361058	5
6694763	361058	1
2825297	361058	1
2981280	2981280	2
3037456	2995469	2
164719	361058	4
2492747	360630	1
3028641	358619	1
3035991	361055	1
3022743	360630	1
2979723	359796	1
2996944	2988507	1
2986354	361058	1
2996075	1566083	1
2987914	360630	3
3016702	3016702	4
3016702	359796	2
2995469	3028808	1
3028808	360630	2
2987475	2987475	1
2987475	361058	1
2974710	361058	1
2986559	361058	1
3176219	3176219	1
3176219	359796	1
3175395	359783	1
3023271	361058	1
3015902	361055	1
2994759	360630	1
3026188	361058	1
3013510	1566083	1
2979073	358619	3
3020152	361055	1
3020251	3020251	5
3031582	361055	3
2976742	2972328	1
3176959	2988507	1
2971722	361055	1
3014433	3014433	3
3014433	360630	3
3031085	2967288	1
2967288	361058	1
3174261	360630	1
3030521	361058	2
2976444	358619	1
2993730	361058	1
3027105	361058	1
360829	361058	3
935267	358619	1
2971382	361058	1
